<name>,<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
D-Wave Quantum Inc,QBTS,20260109,29.77,31.14,28.07,28.11,46765100
Qiagen N.V.,QGEN,20260109,48.58,48.75,47.86,48.29,1276800
Restaurant Brands International,QSR,20260109,68.92,69.34,67.62,69,3004800
Q2 Holdings Inc,QTWO,20260109,69.95,70.9973,69.0089,70.52,510300
Quad Graphics Inc,QUAD,20260109,6.15,6.23,6.0201,6.15,145300
Qvc Inc 6.250% Senior Secured Notes Due 2068,QVCC,20260109,8.71,8.81,8.7,8.7414,21700
Qvc Inc 6.375% Senior Secured Notes Due 2067,QVCD,20260109,8.8,8.86,8.74,8.74,11900
Qxo Inc,QXO,20260109,24.54,25.05,24.19,25,7203900
Qxo Inc,QXO-B,20260109,67.59,68.91,67.2301,68.91,18300
,QXOpB,20260109,67.59,68.5,67.2301,68.05,17457
Ryder System,R,20260109,191.08,193.105,188.15,191.51,400700
Brookfield Real Assets Income Fund Inc,RA,20260109,12.85,12.895,12.85,12.88,205500
Rithm Acquisition Corp Cl A,RAC,20260109,10.42,10.42,10.33,10.33,200
Ferrari N.V.,RACE,20260109,379.88,380.42,374.74,376.19,670000
Ralliant Corporation,RAL,20260109,51,52.59,50.9,52.52,1274500
Liveramp Holdings Inc,RAMP,20260109,27.75,28.04,27.36,27.9,453800
Rb Global Inc,RBA,20260109,107.82,109.52,107.82,109.19,764600
RBC Bearings Inc,RBC,20260109,485,493.125,482.1001,487.16,194400
Roblox Corp Cl A,RBLX,20260109,73.75,74,72.06,73.27,11416600
Vicarious Surgical Inc,RBOT,20260109,2.57,2.77,2.4899,2.61,172900
Rubrik Inc Cl A,RBRK,20260109,72.2,72.49,70.41,70.56,2637700
Ready Capital Corp,RC,20260109,2.07,2.2,2.055,2.16,3232200
Ready Capital Corp 6.25% Series C,RC-C,20260109,13.43,13.85,13.43,13.8499,1300
Ready Capital Corp,RC-E,20260109,13.83,13.95,13.5501,13.95,24100
Ready Capital Corp 6.20% Senior Notes Due,RCB,20260109,24.627,24.75,24.627,24.75,2700
Ready Capital Corp 5.75%,RCC,20260109,25.21,25.21,25.11,25.11,6200
Ready Capital Corporation 9.00%,RCD,20260109,21.2399,21.2399,20.84,20.84,11300
Rogers Communication,RCI,20260109,36.59,36.775,36.2,36.37,784700
Royal Caribbean Cruises Ltd,RCL,20260109,305.77,312.3,303.6401,311.5,1766600
,RCpC,20260109,13.43,13.85,13.43,13.8499,1240
,RCpE,20260109,13.83,13.95,13.5501,13.95,21222
Rcm Strategic Global Government Fund,RCS,20260109,6.05,6.18,5.96,6.13,557100
Arcus Biosciences Inc,RCUS,20260109,21.24,21.49,20.59,21.01,2414100
Reddit Inc Cl A,RDDT,20260109,257.67,263.4999,235.01,244.56,5542400
Radian Group Inc,RDN,20260109,36.02,36.35,35.64,35.65,625100
Redwire Corp,RDW,20260109,10.575,11.375,10.03,10.98,25624600
,RDY,20260109,13.46,13.515,13.38,13.4,1343500
Relx Plc ADR,RELX,20260109,42.49,43.15,42.28,43.14,2871500
Aihuishou International Ltd ADR,RERE,20260109,6.04,6.0541,5.85,5.89,1256600
RPC Inc,RES,20260109,5.93,5.99,5.845,5.91,1363000
Rev Group Inc,REVG,20260109,66.75,67.2,65.26,67.06,663500
Rex American Resources Corp,REX,20260109,32.78,33.6,32.0101,33.1,166000
Rexford Indl Rlty Inc [Rexr/Pb],REX-B,20260109,22.32,22.64,22.26,22.5211,10400
Rexford Indl Rlty Inc [Rexr/Pc],REX-C,20260109,21.16,21.46,21.16,21.25,3500
Rexford Industrial Realty Inc,REXR,20260109,40.37,40.82,40.19,40.76,1436100
,REXRpB,20260109,22.32,22.64,22.26,22.5211,9363
,REXRpC,20260109,21.16,21.46,21.16,21.25,2668
Resideo Technologies Inc,REZI,20260109,36.92,37.57,36.275,37.11,1171400
Regions Financial Corp,RF,20260109,28.92,29.08,28.51,28.52,10426200
Regions Financial Corp [Rf/Pc],RF-C,20260109,24.22,24.55,24.02,24.47,42100
Regions Financial Corp,RF-E,20260109,17.43,17.5,17.35,17.38,52300
Regions Financial Corp,RF-F,20260109,25.43,25.45,25.35,25.38,55300
Cohen & Steers Total Return Realty Fund,RFI,20260109,11.04,11.11,11.04,11.08,90100
Rafael Holdings Inc,RFL,20260109,1.26,1.3,1.24,1.28,67200
Rivernorth Flexible Municipal Income Fund Inc,RFM,20260109,14.13,14.23,14.12,14.15,33400
Rivernorth Flexible Municipal Income Fund II Inc,RFMZ,20260109,12.87,13,12.85,12.98,176500
,RFpC,20260109,24.22,24.55,24.02,24.47,35965
,RFpE,20260109,17.43,17.5,17.35,17.38,47982
,RFpF,20260109,25.43,25.45,25.35,25.4,49382
Reinsurance Group of America Inc,RGA,20260109,201.82,203.37,201.425,201.47,262500
Sturm Ruger & Company,RGR,20260109,36.52,37.323,36.29,37.18,230000
Royce Global Trust Inc,RGT,20260109,13.32,13.452,13.32,13.44,22000
Rh Common Stock,RH,20260109,218.38,222.275,204.47,219,1619100
Robert Half Inc,RHI,20260109,28.51,29.09,27.62,29.02,2218400
Resolute Holdings Management,RHLD,20260109,200,217.595,195.45,209.22,96400
Ryman Hospitality Properties REIT,RHP,20260109,94.51,95.725,93.54,95,618800
Transocean Inc,RIG,20260109,4.29,4.36,4.1646,4.25,27394200
Rio Tinto Plc ADR,RIO,20260109,81.24,81.72,80.7207,81.13,11009500
Rithm Capital Corp [Ritm/Pa],RIT-A,20260109,25.71,25.74,25.68,25.6801,12200
Rithm Capital Corp [Ritm/Pb],RIT-B,20260109,25.64,25.705,25.62,25.65,13500
Rithm Capital Corp [Ritm/Pc],RIT-C,20260109,25.08,25.1,24.97,25,10800
Rithm Capital Corp [Ritm/Pd],RIT-D,20260109,24.75,24.8242,24.71,24.77,37300
Rithm Capital Corp [Ritm],RIT-E,20260109,25.7,25.7,25.65,25.65,16600
Rithm Capital Corp,RITM,20260109,11.52,11.7,11.51,11.57,11366300
,RITMpA,20260109,25.71,25.74,25.68,25.6801,11552
,RITMpB,20260109,25.61,25.705,25.6099,25.65,11528
,RITMpC,20260109,25.08,25.1,24.97,25,9808
,RITMpD,20260109,24.75,24.8242,24.71,24.77,34833
,RITMpE,20260109,25.8789,25.8789,25.65,25.65,13988
Rivernorth Opportunities Fund,RIV,20260109,11.85,11.98,11.85,11.93,86000
Rivernorth Opportunities Fund Inc,RIV-A,20260109,23.23,23.35,23.23,23.33,5000
,RIVpA,20260109,23.23,23.35,23.23,23.33,4578
Raymond James Financial,RJF,20260109,168.99,170.12,167.25,167.71,839900
Rocket Companies Inc Cl A,RKT,20260109,22.08,23.415,22,23.29,73308900
Ralph Lauren Corp,RL,20260109,369.01,373.49,362.89,369.81,442400
Rli Corp,RLI,20260109,60.83,61.17,59.96,60.15,592900
Rlj Lodging Trust,RLJ,20260109,7.7,7.825,7.67,7.77,1211800
Rlj Lodging TR [Rlj/Pa],RLJ-A,20260109,25.05,25.05,24.99,25.03,21200
,RLJpA,20260109,25.05,25.05,24.99,25.03,19277
Cohen Real Estate Opt and Income Fund,RLTY,20260109,14.86,14.93,14.86,14.885,89400
Rlx Technology Inc ADR,RLX,20260109,2.29,2.3,2.2,2.23,2230500
Regional Managment Corp,RM,20260109,39.18,39.73,38.36,39.09,64900
Re/Max Holdings Inc,RMAX,20260109,7.75,8.1399,7.75,7.95,236100
Resmed Inc,RMD,20260109,252.92,253.81,250.18,252.47,598200
Rivernorth Opportunistic Municipal Income Fund,RMI,20260109,14.39,14.6,14.39,14.53,19400
Rivernorth Managed Duration Municipal Income Fun,RMM,20260109,13.88,13.99,13.85,13.98,90000
Rivernorth Managed Duration Municipal Income Fun,RMMZ,20260109,14.6,14.69,14.55,14.68,35300
Royce Micro-Cap Trust,RMT,20260109,11.14,11.21,11.07,11.15,125800
Ringcentral Inc,RNG,20260109,28.92,29.94,28.2925,29.88,1081400
Ranger Energy Services Inc Cl A,RNGR,20260109,14.26,14.58,14.21,14.4,311200
Cohen & Steers REIT and Preferred,RNP,20260109,20.2,20.3,20.1756,20.22,90700
Renaissancere Holdings Ltd,RNR,20260109,276.69,278.7,271.72,273.15,388700
Renaissancere Holdings Ltd [Rnr/Pf],RNR-F,20260109,22.42,22.5299,22.3,22.32,16900
Renaissancere Holdings Ltd,RNR-G,20260109,16.07,16.09,15.91,16.08,52600
,RNRpF,20260109,22.42,22.5299,22.3,22.32,12257
,RNRpG,20260109,16.07,16.09,15.91,16.08,48821
Renasant Corp,RNST,20260109,36.56,36.64,36.04,36.53,764400
Rogers Corp,ROG,20260109,93.66,96.176,93.66,95.73,125700
Rockwell Automation Inc,ROK,20260109,403.49,412.4298,403.49,410.53,725400
Rollins Inc,ROL,20260109,60.06,61.34,59.95,60.68,2049000
,RONB,20260109,25.25,25.2899,25.15,25.1919,30100
RPM International Inc,RPM,20260109,106.8,111.93,106.8,111.02,2358000
Rithm Property Trust Inc,RPT,20260109,16.26,16.33,16.03,16.08,19300
Rithm Property Trust Inc,RPT-C,20260109,25.18,25.2799,25.18,25.2593,2600
,RPTpC,20260109,25.18,25.2799,25.18,25.2593,2504
Cohen & Steers Quality Income Realty Fund Inc,RQI,20260109,11.75,11.8,11.71,11.76,541500
Range Resources Corp,RRC,20260109,33.76,33.935,32.91,33.45,4411300
Regal Rexnord Corp,RRX,20260109,154.84,157.84,150.3,152.65,962000
Reliance Inc,RS,20260109,307.88,310.79,305.94,308.83,264200
Rivernorth Marketplace Lending Corp,RSF,20260109,14.52,14.6,14.42,14.58,48100
Republic Services,RSG,20260109,211.96,213.75,211.72,212.22,988800
Rush Street Interactive Inc,RSI,20260109,19.32,19.49,18.745,19.26,954400
Riskified Ltd Cl A,RSKD,20260109,4.99,5.02,4.84,4.85,276600
Rentokil Initial Plc ADR,RTO,20260109,31.35,31.805,31.3198,31.61,297900
Rtx Corp,RTX,20260109,186.03,189.09,184.37,188.5,7593600
Revolve Group Inc,RVLV,20260109,31.04,31.39,29.95,30.8,1202100
Royce Small-Cap Trust Inc,RVT,20260109,16.79,16.8799,16.72,16.82,308400
Revvity Inc,RVTY,20260109,102.57,104.76,100.975,104.43,1181300
Redwood Trust,RWT,20260109,5.55,5.74,5.55,5.7,4392000
Redwood Trust Inc Pfd A,RWT-A,20260109,24.6,24.74,24.6,24.675,3100
Redwood Trust Inc 9.125%,RWTN,20260109,24.9401,25.295,24.9401,25.18,9500
Redwood Trust Inc 9.00%,RWTO,20260109,25.05,25.11,24.96,25.11,3400
Redwood Trust Inc 9.125%,RWTP,20260109,24.85,24.85,24.6,24.64,24900
,RWTpA,20260109,24.6,24.74,24.6,24.675,2700
Redwood Trust Inc 9.500%,RWTQ,20260109,25.72,25.93,25.45,25.54,70200
Rxo Inc,RXO,20260109,14.66,15,14.45,14.75,2390600
Royal Bank of Canada,RY,20260109,169.49,170.12,168.8,169.19,859800
Rayonier Advanced Materials Inc,RYAM,20260109,7.55,7.6,7.22,7.34,942500
Ryan Specialty Hldgs Inc,RYAN,20260109,50.59,51.56,50.27,50.8,1117100
Ryerson Holding Corp,RYI,20260109,27.44,28.5,27.3,28.23,350100
Rayonier Inc REIT,RYN,20260109,22.47,23.5,22.4,23.45,2235500
Reinsurance Group of America,RZB,20260109,24.95,24.9799,24.9112,24.95,14000
Reinsurance Group of America Inc 7.125,RZC,20260109,25.47,25.47,25.43,25.45,21000
Sentinelone Inc Cl A,S,20260109,15.43,15.495,15,15.12,5059500
Seabridge Gold,SA,20260109,31.48,31.67,30.48,30.86,732600
Saba Capital Income & Opportunities Fund II,SABA,20260109,8.32,8.3713,8.32,8.34,28600
Safeguard Acquisition Corp,SAC.U,20260109,10.08,10.12,10.06,10.1,8700
Safehold Inc,SAFE,20260109,14.67,14.91,14.42,14.87,324200
Sonic Automotive,SAH,20260109,64.61,64.77,63.1,64.75,116500
Boston Beer Company,SAM,20260109,210.41,212,207.12,207.82,117100
Banco Santander ADR,SAN,20260109,11.88,11.93,11.79,11.88,2645700
SAP Ag ADR,SAP,20260109,247.695,248.2199,243.62,247.11,1737800
Saratoga Investment Corp,SAR,20260109,23.04,23.37,23.03,23.22,125300
Standardaero Inc,SARO,20260109,30.78,31.36,30.51,30.78,1335000
Saratoga Investment Corp 6.00%,SAT,20260109,24.86,24.9073,24.85,24.9073,800
Saratoga Investment Corp 8.125% Notes Due 2027,SAY,20260109,25.37,25.37,25.33,25.33,4300
Saratoga Investment Corp 8.50% Notes Due 2028,SAZ,20260109,25.38,25.42,25.37,25.42,15900
Safe Bulkers Inc,SB,20260109,5.18,5.235,5.1,5.17,651600
Safe Bulkers Inc [Sb/Pd],SB-D,20260109,25.6288,25.7,25.6001,25.7,2200
Solo Brands Inc Cl A,SBDS,20260109,6.07,6.21,5.86,6.08,9900
Sally Beauty Holdings,SBH,20260109,15.51,15.86,14.935,15.75,1713000
Western Asset Intermediate Fund Inc,SBI,20260109,7.75,7.8,7.74,7.8,21600
,SBpD,20260109,25.7,25.7,25.6001,25.7,1727
Sabine Royalty Trust,SBR,20260109,67.41,67.94,66.59,67.18,30100
Cia DE Saneamento Basico Do Estado ADR,SBS,20260109,24.68,24.8,24.44,24.58,828700
Southside Bancshares,SBSI,20260109,31.65,31.91,31.39,31.61,80400
Sibanye Gold Ltd ADR,SBSW,20260109,15.74,15.985,15.4934,15.65,4631900
Silverbox Corp V Unit [Sbxe.U],SBX.U,20260109,10.05,10.11,10.05,10.11,6300
Silverbox Corp IV Cl A,SBXD,20260109,11.1,11.1,10.58,10.6399,55500
Southern Copper Corp,SCCO,20260109,162.94,171.08,161.96,170.52,2853400
Lmp Capital and Income Fund Inc,SCD,20260109,15.26,15.35,15.2,15.28,127100
Sce Trust II [Sce/Pg],SCE-G,20260109,18.405,18.63,18.2754,18.4198,25500
Sce Trust V [Sce/Pk],SCE-K,20260109,24.97,25,24.92,24.97,17300
Sce Trust VI [Sce/Pl],SCE-L,20260109,18.13,18.2,18,18.2,14300
Sce Trust Vii,SCE-M,20260109,25.05,25.3499,25.05,25.07,38100
Sce Trust ViII Pfd N,SCE-N,20260109,23.7,24.0999,23.7,23.99,18900
,SCEpG,20260109,18.405,18.63,18.2754,18.4198,22943
,SCEpK,20260109,24.97,25,24.92,24.97,15939
,SCEpL,20260109,18.1304,18.2,18,18.2,11180
,SCEpM,20260109,25.05,25.3499,25.05,25.07,33879
,SCEpN,20260109,23.7,24.0999,23.7,23.99,17121
Charles Schwab Corp [Schw/Pd],SCH-D,20260109,25.23,25.23,25.1,25.12,43400
Charles Schwab Corp [Schw/Pj],SCH-J,20260109,18.7,19.0999,18.7,19.04,53900
The Charles Schwab Corp,SCHW,20260109,101.34,101.6199,100.14,100.17,6839900
,SCHWpD,20260109,25.23,25.23,25.1,25.1499,38272
,SCHWpJ,20260109,18.7,19.0999,18.7,19.04,45154
Service Corp International,SCI,20260109,79.33,81.07,79.33,80.81,914200
Stepan Company,SCL,20260109,50.49,51.5099,49.99,51.14,350600
Stellus Capital Investment Cor,SCM,20260109,13.1,13.154,13.02,13.13,59300
Sandridge Energy Inc,SD,20260109,13.82,13.96,13.7,13.7,275200
Smith Douglas Homes Corp Cl A,SDHC,20260109,17.58,19.3,17.58,19.29,96200
PGIM Short Duration High Yield Opp Fund,SDHY,20260109,16.69,16.715,16.645,16.67,46000
Seadrill 2021 Ltd,SDRL,20260109,35.87,37,35.34,35.47,991500
Sea Ltd ADR,SE,20260109,133.57,135,131.71,133.52,2921500
Teekay Lng Partners LP [Seal.Pa],SEA-A,20260109,25.36,25.48,25.35,25.35,4500
Teekay Lng Partners LP [Seal.Pb],SEA-B,20260109,25.32,25.51,25.3001,25.38,4400
,SEALpA,20260109,25.36,25.48,25.35,25.35,3468
,SEALpB,20260109,25.5,25.51,25.3001,25.38,3360
Sealed Air Corp,SEE,20260109,41.52,41.58,41.48,41.51,2502900
Seaport Entertainment Group Inc,SEG,20260109,20.3,20.46,19.93,20.14,33200
Solaris Energy Infrastructure Inc,SEI,20260109,52,55.8299,51.745,53.16,2603800
Select Medical Holdings Corp,SEM,20260109,15.35,15.35,15.13,15.22,308000
Semrush Holdings Inc Cl A,SEMR,20260109,11.89,11.91,11.88,11.89,7346400
Ses AI Corp,SES,20260109,2.25,2.28,2.12,2.13,5086300
Ses AI Corp WT,SES.W,20260109,0.33,0.3475,0.275,0.3,29300
,SES.WS,20260109,0.33,0.3475,0.275,0.3,29350
Stifel Financial Corp,SF,20260109,130.53,131.34,128.44,130.21,810700
Stifel Financial Corp [Sf/Pb],SF-B,20260109,23.77,23.9899,23.77,23.8,6100
Stifel Financial Corp [Sf/Pc],SF-C,20260109,23.58,23.64,23.38,23.55,21600
Stifel Financial Corp,SF-D,20260109,17.19,17.3488,17.08,17.18,46300
Stifel Financial Corp 5.20% Senior Notes,SFB,20260109,20.68,20.68,20.54,20.57,25800
Servisfirst Bancs,SFBS,20260109,76.42,76.713,75.03,75.74,205500
Ship Finance International,SFL,20260109,8.36,8.3698,8.2,8.3,1891200
,SFpB,20260109,23.77,23.9899,23.77,23.8,5204
,SFpC,20260109,23.5839,23.64,23.38,23.55,16496
,SFpD,20260109,17.19,17.3488,17.08,17.13,42707
Sweetgreen Inc Cl A,SG,20260109,7.72,7.9445,7.5198,7.82,3579100
Super Group [Sghc] Ltd,SGHC,20260109,10.51,10.62,10.27,10.5,2563800
Somnigroup International Inc,SGI,20260109,93.23,94.025,92.49,93.78,1268800
Star Gas Partners LP,SGU,20260109,12.31,12.31,12.135,12.27,9100
Shake Shack Inc,SHAK,20260109,91.58,93.3,89.05,93.29,1751400
Soho House & Co. Inc,SHCO,20260109,8.03,8.15,7.82,7.9,3737900
Shell Plc ADR,SHEL,20260109,70.87,71.475,70.6,70.83,5603000
Shinhan Financial Group Ltd ADR,SHG,20260109,53.47,54,53.3646,53.94,161400
Sunstone Hotel Investors,SHO,20260109,9.31,9.475,9.2945,9.42,1625000
Sunstone Hotel Investors Inc,SHO-H,20260109,20.5,20.6,20.28,20.28,11200
Sunstone Hotel Investors Inc,SHO-I,20260109,19.1931,19.2,19.0862,19.2,4200
Strive U.S. Semiconductor ETF,SHOC,20260109,71.96,73.92,71.96,73.64,10500
,SHOpH,20260109,20.5,20.6,20.5,20.55,10308
,SHOpI,20260109,19.1931,19.2,19.0862,19.2,3854
Sherwin-Williams Company,SHW,20260109,343.5,354,342.735,353.28,2432800
Shoulder Innovations Inc,SI,20260109,15.3,15.3,14.27,14.39,39900
Companhia Siderurgica Nacional ADR,SID,20260109,1.85,1.91,1.85,1.86,2185700
Signet Jewelers Ltd,SIG,20260109,87.92,89.81,83.11,84.38,1433700
Sprott Inc,SII,20260109,104.24,105.76,103.29,105.59,146500
Sila Realty Trust Inc,SILA,20260109,23.41,23.57,23.185,23.32,334500
Site Centers Corp,SITC,20260109,6.31,6.39,6.24,6.35,868800
Siteone Landscape Supply,SITE,20260109,137.06,142.62,135.14,140.46,1251500
J.M. Smucker Company,SJM,20260109,97.89,100.58,97.82,100.58,1535800
San Juan Basin Royalty Trust,SJT,20260109,5.65,5.94,5.65,5.87,156400
Skeena Resources Ltd,SKE,20260109,24.99,25.74,24.7,25.65,520400
Skillsoft Corp,SKIL,20260109,9,9.745,8.865,9.7,275700
Skillz Inc,SKLZ,20260109,4.41,4.45,4.35,4.38,29600
Sk Telecom Corp ADR,SKM,20260109,20.4,20.48,20.235,20.29,710100
Tanger Inc,SKT,20260109,34.31,34.72,33.78,34.11,1425000
Champion Homes Inc,SKY,20260109,91.49,95.615,91.49,95.35,1374400
Sky Harbour Group Corp WT [Skyh.W],SKY.W,20260109,0.72,0.72,0.6731,0.7,3800
Sky Harbour Group Corp,SKYH,20260109,9.47,9.64,9.25,9.39,127900
,SKYH.WS,20260109,0.72,0.72,0.6731,0.7,2535
Solai Limited,SLAI,20260109,1.12,1.21,1.0787,1.15,661100
Slb Limited,SLB,20260109,44.78,45.24,44.29,45.2,18306800
Sun Life Financial Inc,SLF,20260109,62.35,63.2,62.35,62.81,563000
SL Green Realty Corp,SLG,20260109,49.11,49.55,47.735,49.39,1326200
SL Green Rlty Corp [Slg/Pi],SLG-I,20260109,22.51,22.71,22.4,22.67,21700
Silgan Holdings,SLGN,20260109,41.95,42.8,41.705,42.73,816000
,SLGpI,20260109,22.51,22.71,22.4,22.67,20575
Tcw Senior Loan ETF,SLNZ,20260109,46.27,46.3,46.27,46.3,300
Selectquote Inc,SLQT,20260109,1.4,1.425,1.365,1.4,708500
Sylvamo Corp,SLVM,20260109,48.78,50.69,48.64,50.54,287700
Sm Energy Company,SM,20260109,18.2,18.37,17.55,17.78,4987300
Smartstop Self Storage REIT Inc,SMA,20260109,31.81,32.36,31.41,32.22,1059500
Smartfinancial Inc,SMBK,20260109,37.94,38.5,37.645,37.74,52200
Summit Midstream Corporation,SMC,20260109,27.12,27.25,25.13,25.74,116200
Sumitomo Mitsui Financial Group ADR,SMFG,20260109,20.09,20.315,19.995,20.2,3161400
Scotts Miracle-Gro Company,SMG,20260109,61.04,62.23,60.41,61.77,855200
Seacor Marine Holdings Inc,SMHI,20260109,6.41,6.41,6.12,6.13,93600
Standard Motor Products,SMP,20260109,39.03,39.5,38.07,38.42,126500
Nuscale Power Corp,SMR,20260109,21.49,22.29,20.32,20.51,51357000
Smartrent Inc,SMRT,20260109,1.83,1.83,1.805,1.81,548300
Similarweb Ltd,SMWB,20260109,7.17,7.3,6.95,7.07,264000
Sharkninja Inc,SN,20260109,123.34,124.7499,117.51,120.49,1617500
Snap-On Inc,SNA,20260109,363.24,366.17,361.29,362.17,247300
Snap Inc,SNAP,20260109,8.47,8.59,8.17,8.21,39691300
Sonida Senior Living Inc,SNDA,20260109,32.06,32.44,32.06,32.29,17500
Schneider National Inc,SNDR,20260109,28.48,29.12,28.48,28.89,815200
Smith & Nephew Snats ADR,SNN,20260109,34.03,34.07,33.53,33.57,712100
Snowflake Inc Cl A,SNOW,20260109,224.4,226.83,218.2,219.09,4650000
Synnex Corp,SNX,20260109,149.45,151.185,145.55,150.45,1420400
Southern Company,SO,20260109,87.22,87.815,86.97,87.01,3152300
South Bow Corp,SOBO,20260109,26.17,26.36,26.05,26.08,789700
Sable Offshore Corp,SOC,20260109,9.4,9.905,9.15,9.82,5312300
Southern Company Series 2017B 5.25% Junior,SOJC,20260109,21.9501,22.08,21.9501,22,20000
Southern Company Series 2020A 4.95% Junior,SOJD,20260109,20.61,20.67,20.55,20.67,84200
Southern Company Series 2020C 4.20%,SOJE,20260109,18.24,18.29,18.24,18.28,40100
Southern Company Series 2025A 6.50%,SOJF,20260109,25.53,25.54,25.42,25.54,57800
Solventum Corporation,SOLV,20260109,85.83,86.36,84.85,86.14,741400
Southern CO (The),SOMN,20260109,49.75,50.215,49.48,49.63,358700
Sonoco Products,SON,20260109,46.79,47.4,46.56,47.35,674500
Sony Group Corp ADR,SONY,20260109,24.98,25.165,24.9,25.04,5191100
Source Capital,SOR,20260109,47.68,48.3,47.275,48.1302,18800
Sos Ltd ADR,SOS,20260109,1.63,1.75,1.63,1.73,14000
Soulpower Acquisition Corp Ord [Soulr],SOU-,20260109,0.19,0.19,0.19,0.19,5300
Soulpower Acquisition Corporation Cl A,SOUL,20260109,10.2,10.2,10.17,10.1999,2500
,SOULr,20260109,0.19,0.19,0.19,0.19,5304
Spectrum Brands Holdings Inc,SPB,20260109,64.16,65,63.38,64.75,257400
Virgin Galactic Holdings Inc,SPCE,20260109,3.18,3.34,3.16,3.18,5328600
Special Opportunities Fund Inc,SPE,20260109,14.96,15,14.9,14.95,39700
Special Opportunities Fund Inc 2.75%,SPE-C,20260109,24.89,25.07,24.89,24.995,2700
,SPEpC,20260109,24.89,25.07,24.89,24.995,2427
Simon Property Group,SPG,20260109,184.72,186.025,184.13,184.69,1169300
Simon Ppty Group Inc [Spg/Pj],SPG-J,20260109,53.43,53.43,53.43,53.43,200
S&P Global Inc,SPGI,20260109,543.82,547.33,541.63,541.94,1197000
,SPGpJ,20260109,53.43,53.43,53.43,53.43,100
Suburban Propane Partners LP,SPH,20260109,18.38,18.6,18.38,18.56,91300
Sphere Entertainment CO,SPHR,20260109,93.2,97.02,92.49,95.26,691900
Spire Global Inc,SPIR,20260109,10.41,10.625,10.02,10.48,558900
Sound Point Meridian Capital Inc,SPMA,20260109,25.22,25.3,25.17,25.3,7800
Sound Point Meridian Capital Inc,SPMC,20260109,14.71,14.79,14.5978,14.69,18300
Sound Point Meridian Capital Inc,SPME,20260109,25.12,25.2,25.11,25.1772,4600
Siriuspoint Ltd,SPN-B,20260109,25.33,25.36,25.32,25.34,11500
Siriuspoint Ltd,SPNT,20260109,20.28,20.49,19.73,20.11,707200
,SPNTpB,20260109,25.33,25.36,25.32,25.32,9481
Spotify Technology S.A.,SPOT,20260109,553.58,554.345,536.13,539.37,3600700
Spruce Power Holding Corp,SPRU,20260109,5.2,5.29,5.06,5.06,38200
SPX Corp,SPXC,20260109,208.73,212.785,207.18,207.51,362300
Nuveen S&P 500 Dynamic Overwrite Fund,SPXX,20260109,18.32,18.3399,18.13,18.26,88000
Sociedad Quimica Y Minera S.A. ADR,SQM,20260109,73.79,74.6,73.29,74.4,922200
Sequans Communications S A ADR,SQNS,20260109,4.99,5.1499,4.97,5,141900
Spire Inc,SR,20260109,83.28,84.6,81.86,82.18,480700
Spire Inc [Sr/Pa],SR-A,20260109,25.22,25.25,25.22,25.25,90600
Sempra,SRE,20260109,88.48,89.125,88.09,88.82,2809200
Sempra Energy 5.750% Junior,SREA,20260109,22.68,22.78,22.68,22.7721,51300
Surf Air Mobility Inc,SRFM,20260109,3.3,3.3898,3.11,3.23,6165900
Seritage Growth Properties,SRG,20260109,3.48,3.58,3.46,3.5,152600
Seritage Growth Pptys [Srg/Pa],SRG-A,20260109,24.02,24.2,24.02,24.2,300
,SRGpA,20260109,24.02,24.2,24.02,24.2,306
Stoneridge Inc,SRI,20260109,6.15,6.2699,5.975,6.09,85800
Scully Royalty Ltd,SRL,20260109,6.95,7.1,6.81,7.06,4100
,SRpA,20260109,25.22,25.25,25.22,25.24,87778
Nxg Cushing Midstream Energy Fund,SRV,20260109,39.8,39.88,39.4001,39.83,52300
Southstate Bank Corporation,SSB,20260109,98.7,99.23,97.59,97.69,706100
Simpson Manufacturing Company,SSD,20260109,174.19,179.71,173.67,179.04,318700
Sasol Ltd ADR,SSL,20260109,6.73,6.92,6.72,6.87,1383800
System1 Inc,SST,20260109,4.66,4.72,4.53,4.54,8200
Shutterstock Inc,SSTK,20260109,19,19.55,18.715,19.54,180000
Sensata Technologies Holding N.V.,ST,20260109,35.38,35.79,34.67,35.72,881300
Stag Industrial Inc,STAG,20260109,38.15,38.4299,37.7964,37.89,1263900
Stewart Information Services Corp,STC,20260109,68.97,69.86,68.18,68.64,345300
Steris Corp,STE,20260109,260.69,262.37,256.58,256.82,380000
Stellar Bancorp Inc,STEL,20260109,32.02,32.055,31.54,31.62,123600
Stem Inc,STEM,20260109,17.36,18.84,16.445,17.68,591600
Srh Total Return Fund Inc,STEW,20260109,18.45,18.5,18.432,18.5,111200
Sunlands Online Education Group ADR,STG,20260109,5.64,5.64,5.64,5.64,400
Columbia Seligman Premium Technology,STK,20260109,38.75,39.25,38.72,39.17,52800
Stellantis N.V.,STLA,20260109,11.26,11.32,10.76,10.91,17008500
Stmicroelectronics N.V. ADR,STM,20260109,28.71,28.905,28.38,28.84,7177400
Stantec Inc,STN,20260109,97.49,98.57,97.49,98.33,256100
Scorpio Tankers Inc,STNG,20260109,54.5,55.34,53.2634,54.81,2363400
Strive 500 ETF,STRV,20260109,44.71,44.91,44.5762,44.84,84500
State Street Corp,STT,20260109,132.84,133.68,132.28,132.57,1641900
State Street Corp [Stt/Pg],STT-G,20260109,22.82,22.9,22.77,22.85,64200
